INSTNM,CITY,STABBR,INSTURL,LOCALE,MENONLY,WOMENONLY,SATVR75,SATMT75,SATWR75,ACTCM75,SAT_AVG,GRAD_DEBT_MDN
Total Cosmetology Training Center,Spokane,WA,totalcosmetology.com,12,0,0,NULL,NULL,NULL,NULL,NULL,6863
Pioneer Technology Center,Ponca City,OK,pioneertech.edu,33,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Portage Lakes Career Center,Uniontown,OH,www.plcc.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,6333
Eastern College of Health Vocations-New Orleans,New Orleans,LA,www.easterncollege.edu.,21,0,0,NULL,NULL,NULL,NULL,NULL,3748
Bell Mar Beauty College,Cicero,IL,www.bellmar.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Cannella School of Hair Design-Chicago,Chicago,IL,cannellabeautyschools.com,11,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Caddo Kiowa Technology Center,Fort Cobb,OK,www.caddokiowa.com,43,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Brightwood College-San Antonio-San Pedro,San Antonio,TX,www.brightwood.edu/north-san-antonio-tx/,11,0,0,NULL,NULL,NULL,NULL,NULL,9270
Center for Instruction Technology & Innovation (CiTi),Mexico,NY,www.oswegoboces.org/,42,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Le Cordon Bleu College of Culinary Arts-Austin,Austin,TX,www.chefs.edu/Austin,11,0,0,NULL,NULL,NULL,NULL,NULL,11250
The Art Institute of New York City,New York,NY,www.artinstitutes.edu/new-york/Default.aspx,11,0,0,NULL,NULL,NULL,NULL,NULL,24124.5
Paris II Educational Center,Gladstone,MO,parisii.net,21,0,0,NULL,NULL,NULL,NULL,NULL,7917
International School of Skin Nailcare & Massage Therapy,Atlanta,GA,issnschoolspa.com/,13,0,0,NULL,NULL,NULL,NULL,NULL,6444
Palomar Institute of Cosmetology,San Marcos,CA,pic.edu/,21,0,0,NULL,NULL,NULL,NULL,NULL,6334
Southern Oklahoma Technology Center,Ardmore,OK,www.sotc.edu,41,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Vista College,El Paso,TX,vistacollege.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,14250
Autry Technology Center,Enid,OK,www.autrytech.edu,33,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Greene County Vocational School District,Xenia,OH,www.greeneccc.com,41,0,0,NULL,NULL,NULL,NULL,NULL,6287.5
Canadian Valley Technology Center,El Reno,OK,www.cvtech.edu,42,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Wilkes-Barre Area Career and Technical Center Practical Nursing,Wilkes Barre,PA,www.wbpracnsg.com,21,0,0,NULL,NULL,NULL,NULL,NULL,13017
Mayo Graduate School,Rochester,MN,www.mayo.edu/mgs/index.html,12,0,0,NULL,NULL,NULL,NULL,NULL,9749
Meridian Technology Center,Stillwater,OK,https://www.meridiantech.edu,32,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Waynesville Career Center,Waynesville,MO,www.waynesville.k12.mo.us/Domain/9,33,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Connecticut Institute of Hair Design,Wolcott,CT,www.cthairandbarberschool.com,22,0,0,NULL,NULL,NULL,NULL,NULL,7500
Capitol School of Hairstyling and Esthetics,Omaha,NE,www.capitollook.com,11,0,0,NULL,NULL,NULL,NULL,NULL,7550
Morris County Vocational School District,Denville,NJ,www.mcvts.org/,21,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Ross Medical Education Center-Roosevelt Park,Roosevelt Park,MI,www.rosseducation.edu,22,0,0,NULL,NULL,NULL,NULL,NULL,9500
Ross Medical Education Center-Kentwood,Kentwood,MI,www.rosseducation.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,9500
South Florida Bible College and Theological Seminary,Deerfield Beach,FL,www.sfbc.edu,13,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Cloyd's Barber School 2 Inc,Monroe,LA,cloydsbarberschool.com,13,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Universal Technical Institute of Illinois Inc,Lisle,IL,www.uti.edu/,21,0,0,NULL,NULL,NULL,NULL,NULL,18500
Pennsylvania College of Technology,Williamsport,PA,www.pct.edu,13,0,0,NULL,NULL,NULL,NULL,NULL,21475
Commonwealth Institute of Funeral Service,Houston,TX,www.commonwealth.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,9500
Delta College of Arts & Technology,Baton Rouge,LA,www.deltacollege.com,12,0,0,NULL,NULL,NULL,NULL,NULL,4707.5
InterCoast Colleges-Orange,Orange,CA,www.intercoast.edu,12,0,0,NULL,NULL,NULL,NULL,NULL,10828
Stone Child College,Box Elder,MT,www.stonechild.edu,43,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
New York Academy of Art,New York,NY,www.nyaa.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Suffolk County Community College,Selden,NY,www3.sunysuffolk.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,7470
Las Positas College,Livermore,CA,www.laspositascollege.edu,41,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Blades School of Hair Design,California,MD,BladesSchoolOfHairDesign.com,13,0,0,NULL,NULL,NULL,NULL,NULL,13296.5
Ogeechee Technical College,Statesboro,GA,www.ogeecheetech.edu,32,0,0,NULL,NULL,NULL,NULL,NULL,12000
Remington College-Mobile Campus,Mobile,AL,www.remingtoncollege.edu/mobile-alabama-colleges-campus,12,0,0,NULL,NULL,NULL,NULL,NULL,9500
Everest College-Aurora,Aurora,CO,www.everest.edu/campus/aurora,11,0,0,NULL,NULL,NULL,NULL,NULL,9500
Southern Technical College,Fort Myers,FL,www.southerntech.edu,13,0,0,NULL,NULL,NULL,NULL,NULL,22280
Mercy-St Luke's School of Radiologic Technology,Cedar Rapids,IA,www.isrt.org/ResourceCenter/mstl.aspx,12,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
ITT Technical Institute-Norwood,Norwood,MA,www.itt-tech.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,25827.5
Southwest Acupuncture College-Santa Fe,Santa Fe,NM,www.acupuncturecollege.edu,13,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Northwest Technology Center-Alva,Alva,OK,www.nwtech.edu,41,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Mercer County Career Center,Mercer,PA,www.mercerccc.org,41,0,0,NULL,NULL,NULL,NULL,NULL,16500
ITT Technical Institute-Knoxville,Knoxville,TN,www.itt-tech.edu,12,0,0,NULL,NULL,NULL,NULL,NULL,25827.5
ITT Technical Institute-Austin,Austin,TX,www.itt-tech.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,25827.5
ITT Technical Institute-Houston North,Houston,TX,www.itt-tech.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,25827.5
California State University-San Marcos,San Marcos,CA,www.csusm.edu,21,0,0,520,530,NULL,22,948,18000
Argosy University-Hawaii,Honolulu,HI,www.argosy.edu/hawaii/,11,0,0,NULL,NULL,NULL,NULL,NULL,24750
Baptist Theological Seminary at Richmond,Henrico,VA,www.btsr.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Brightwood College-Modesto,Salida,CA,www.brightwood.edu/modesto-ca/,21,0,0,NULL,NULL,NULL,NULL,NULL,9025
Kaplan University-Des Moines Campus,Urbandale,IA,www.kaplanuniversity.edu/des-moines-iowa.aspx,21,0,0,NULL,NULL,NULL,NULL,NULL,29493
Hairmasters Institute of Cosmetology,Bloomington,IL,www.hair-masters.com,13,0,0,NULL,NULL,NULL,NULL,NULL,10016.5
Tricoci University of Beauty Cuture LLC-Bloomington,Bloomington,IN,www.tricociuniversity.com,13,0,0,NULL,NULL,NULL,NULL,NULL,7322
Pinnacle Career Institute-Lawrence,Lawrence,KS,www.pcitraining.edu,13,0,0,NULL,NULL,NULL,NULL,NULL,9500
Interactive College of Technology-Newport,Newport,KY,www.ict.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,7376
Career Technical College-Monroe,Monroe,LA,www.mccann.edu,13,0,0,NULL,NULL,NULL,NULL,NULL,16566
Empire Beauty School-Lowell,Lowell,MA,www.empire.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,11058
Ross Medical Education Center-Taylor,Taylor,MI,www.rosseducation.edu,13,0,0,NULL,NULL,NULL,NULL,NULL,9500
McNally Smith College of Music,Saint Paul,MN,www.mcnallysmith.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,25500
National Tractor Trailer School Inc-Liverpool,Liverpool,NY,www.ntts.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,6365
Interactive College of Technology,Houston,TX,www.ict.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,6138
Star Career Academy–Brick,Brick,NJ,starcareer.edu/campuses/brick-nj-campus/,21,0,0,NULL,NULL,NULL,NULL,NULL,9500
New Castle Beauty Academy,New Castle,PA,beautyacademies.net,31,0,0,NULL,NULL,NULL,NULL,NULL,8028
NorthWest Arkansas Community College,Bentonville,AR,www.nwacc.edu,13,0,0,NULL,NULL,NULL,NULL,NULL,16948
Madera Beauty College,Madera,CA,www.maderabeautycollege.edu,13,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Colorado Heights University,Denver,CO,WWW.CHU.EDU,11,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Brewster Technical College,Tampa,FL,www.brewster.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Hodges University,Naples,FL,www.hodges.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,25500
Everest University-Lakeland,Lakeland,FL,www.everest.edu/campus/lakeland,13,0,0,NULL,NULL,NULL,NULL,NULL,19613
Argosy University-Atlanta,Atlanta,GA,argosy.edu/,13,0,0,NULL,NULL,NULL,NULL,NULL,24750
University of St Augustine for Health Sciences,San Marcos,CA,www.usa.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Capital Area School of Practical Nursing,Springfield,IL,www.caspn.edu,12,0,0,NULL,NULL,NULL,NULL,NULL,9500
Hair Professionals Career College,Palos Hills,IL,hairpros.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,8750
Alexandria School of Scientific Therapeutics,Alexandria,IN,www.assti.com,23,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Empire Beauty School-Bloomfield,Bloomfield,NJ,www.empire.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,9833
Southwest Technology Center,Altus,OK,www.swtech.edu,33,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Western Area Career & Technology Center,Canonsburg,PA,www.wactc.net,41,0,0,NULL,NULL,NULL,NULL,NULL,15609
Daymar Institute-Clarksville,Clarksville,TN,www.daymarinstitute.edu,12,0,0,NULL,NULL,NULL,NULL,NULL,21845
Nossi College of Art,Madison,TN,www.nossi.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,29500
Seguin Beauty School-New Braunfels,New Braunfels,TX,www.seguinbeautyschool.net,13,0,0,NULL,NULL,NULL,NULL,NULL,9000
ITT Technical Institute-Norfolk,Norfolk,VA,www.itt-tech.edu,12,0,0,NULL,NULL,NULL,NULL,NULL,25827.5
Pima Medical Institute-Seattle,Seattle,WA,pmi.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,8708
Mineral County Vocational Technical Center,Keyser,WV,NULL,32,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Hypnosis Motivation Institute,Tarzana,CA,www.hypnosis.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Los Angeles ORT College-Los Angeles Campus,Los Angeles,CA,www.laort.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,7334
Everest College-West Los Angeles,Los Angeles,CA,www.everest.edu/campus/west_los_angeles,11,0,0,NULL,NULL,NULL,NULL,NULL,9500
Thanh Le College School of Cosmetology,Garden Grove,CA,WWW.thanhlecollege.com,21,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Southeastern Technical College,Vidalia,GA,www.southeasterntech.edu,33,0,0,NULL,NULL,NULL,NULL,NULL,6098
Massachusetts School of Law,Andover,MA,www.mslaw.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
ITT Technical Institute-Albuquerque,Albuquerque,NM,www.itt-tech.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,25827.5
Community Services Division-Alliance City,Alliance,OH,www.accrtw.org,31,0,0,NULL,NULL,NULL,NULL,NULL,7546
Universal Technical Institute-Auto Motorcycle & Marine Mechanics Institute Division-Orlando,Orlando,FL,www.uti.edu/,21,0,0,NULL,NULL,NULL,NULL,NULL,18139
Erwin Technical College,Tampa,FL,www.erwin.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Rosel School of Cosmetology,Chicago,IL,www.roselschool.org,11,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Worsham College of Mortuary Science,Wheeling,IL,WWW.WORSHAMCOLLEGE.COM,21,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Bryan University,Springfield,MO,www.bryanu.edu,12,0,0,NULL,NULL,NULL,NULL,NULL,24056
Oregon College of Oriental Medicine,Portland,OR,ocom.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Central Pennsylvania Institute of Science and Technology,Pleasant Gap,PA,www.cpi.edu,41,0,0,NULL,NULL,NULL,NULL,NULL,7732
Northwest Educational Center,Houston,TX,northwestedcenter.com,11,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Sebring Career Schools-Houston,Houston,TX,sebringcareerschools.com,11,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
PCI Health Training Center,Dallas,TX,www.pcihealth.com,11,0,0,NULL,NULL,NULL,NULL,NULL,6333
Windham Memorial Hospital-Radiologic Technology Program,Willimantic,CT,www.windhamhospital.org/education-research/radiologic-technology,31,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Miami-Jacobs Career College-Columbus,Columbus,OH,www.miamijacobs.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,22940
Bryant & Stratton College-Eastlake,Eastlake,OH,www.bryantstratton.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,24200
Hamrick School,Medina,OH,www.hamrickschool.edu,41,0,0,NULL,NULL,NULL,NULL,NULL,5481
Alabama State College of Barber Styling,Gardendale,AL,www.ascbs.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Fortis College-Mobile,Mobile,AL,fortis.edu,12,0,0,NULL,NULL,NULL,NULL,NULL,12015
Arkansas Beauty School,Conway,AR,arkansasbeautyschoolconway.com,13,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Everest College-Ontario,Ontario,CA,www.everest.edu/campus/ontario,12,0,0,NULL,NULL,NULL,NULL,NULL,9500
Downey Adult School,Downey,CA,www.das.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Heald College-Stockton,Stockton,CA,www.heald.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,11676
Heald College-Hayward,Hayward,CA,www.Heald.edu,12,0,0,NULL,NULL,NULL,NULL,NULL,11676
CRU Institute,Garden Grove,CA,www.cruinstitute.com,21,0,0,NULL,NULL,NULL,NULL,NULL,9833
Modern Technology School,Fountain Valley,CA,www.mtschool.edu,13,0,0,NULL,NULL,NULL,NULL,NULL,14166
National Career Education,Rancho Cordova,CA,www.nceschool.com,13,0,0,NULL,NULL,NULL,NULL,NULL,8023
Everest College-Anaheim,Anaheim,CA,www.everest.edu/campus/anaheim,11,0,0,NULL,NULL,NULL,NULL,NULL,9500
Thuy Princess Beauty College,Pomona,CA,thuyprincessbeautycollege.com,21,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
North-West College-Glendale,Glendale,CA,www.north-westcollege.edu,12,0,0,NULL,NULL,NULL,NULL,NULL,8150
Everest College-City of Industry,City of Industry,CA,www.everest.edu/campus/city_of_industry,21,0,0,NULL,NULL,NULL,NULL,NULL,9500
Fremont College,Cerritos,CA,www.fremont.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,20000
Pomona Unified School District Adult and Career Education,Pomona,CA,www.pusd.org/ace,21,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Universal College of Beauty Inc-Los Angeles 2,Los Angeles,CA,ucb-la.com,11,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
IBMC College,Fort Collins,CO,www.ibmc.edu,12,0,0,NULL,NULL,NULL,NULL,NULL,18178.5
Xenon International Academy-Denver,Aurora,CO,www.xenonacademy.net,11,0,0,NULL,NULL,NULL,NULL,NULL,13728
Academy of Cosmetology,Merritt Island,FL,FLORIDACOSMETOLOGYSCHOOLS.COM,21,0,0,NULL,NULL,NULL,NULL,NULL,5001
ITT Technical Institute-Lake Mary,Lake Mary,FL,www.itt-tech.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,25827.5
Sunstate Academy,Clearwater,FL,www.sunstate.edu,12,0,0,NULL,NULL,NULL,NULL,NULL,6333
Heritage Institute-Jacksonville,Jacksonville,FL,www.heritage-education.com,11,0,0,NULL,NULL,NULL,NULL,NULL,13228
Fortis College-Smyrna,Smyrna,GA,Fortis.edu,13,0,0,NULL,NULL,NULL,NULL,NULL,12960
Remington College-Honolulu Campus,Honolulu,HI,www.remingtoncollege.edu/honolulu-hawaii-colleges-career-schools,11,0,0,NULL,NULL,NULL,NULL,NULL,9500
Vatterott College-Des Moines,Des Moines,IA,www.vatterott.edu,12,0,0,NULL,NULL,NULL,NULL,NULL,20894.5
Brown Mackie College-Quad Cities,Bettendorf,IA,www.brownmackie.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,22141.5
Pivot Point Academy-Bloomingdale,Bloomingdale,IL,www.pivotpoint.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,13833
Blalock's Professional Beauty College,Shreveport,LA,NULL,12,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Diesel Driving Academy-Baton Rouge,Baton Rouge,LA,www.dda.edu,12,0,0,NULL,NULL,NULL,NULL,NULL,6333
Jonesville Beauty School,Vidalia,LA,jonesvillebeautyacademy.com,33,0,0,NULL,NULL,NULL,NULL,NULL,9833
New England Hair Academy,Malden,MA,www.newenglandhairacademy.com,21,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Rob Roy Academy-Worcester,Worcester,MA,www.rob-roy.com,12,0,0,NULL,NULL,NULL,NULL,NULL,7741
Upper Cape Cod Regional Technical School,Bourne,MA,www.uppercapetech.com,22,0,0,NULL,NULL,NULL,NULL,NULL,9500
All-State Career-Baltimore,Baltimore,MD,www.allstatecareer.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,6333
New England School of Communications,Bangor,ME,www.nescom.edu,13,0,0,NULL,NULL,NULL,NULL,NULL,27000
Everest Institute-Kalamazoo,Kalamazoo,MI,www.everest.edu/campus/kalamazoo,22,0,0,NULL,NULL,NULL,NULL,NULL,10740
Adler Graduate School,Richfield,MN,www.alfredadler.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Academy of Hair Design-Jackson,Jackson,MS,www.academyofhair.com,12,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
KC's School of Hair Design,Pontotoc,MS,www.kcsschoolofhair.com,33,0,0,NULL,NULL,NULL,NULL,NULL,14256
Mitchells Hairstyling Academy-Goldsboro,Goldsboro,NC,www.mitchells.edu,13,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Lincoln Technical Institute-Moorestown,Moorestown,NJ,www.lincolnedu.com/campus/moorestown-nj,21,0,0,NULL,NULL,NULL,NULL,NULL,9500
Monmouth County Vocational School District,Freehold,NJ,www.mcvsd.org,21,0,0,NULL,NULL,NULL,NULL,NULL,5500
Brightwood College-Las Vegas,Las Vegas,NV,www.brightwood.edu/las-vegas-nv/,11,0,0,NULL,NULL,NULL,NULL,NULL,9500
Beauty School of Middletown,Middletown,NY,www.thebeautyschoolofmiddletown.com,23,0,0,NULL,NULL,NULL,NULL,NULL,6333
Bryant & Stratton College-Southtowns,Orchard Park,NY,www.bryantstratton.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,24200
National Tractor Trailer School Inc-Buffalo,Buffalo,NY,www.ntts.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,6365
Yeshiva Gedolah Imrei Yosef D'spinka,Brooklyn,NY,NULL,11,1,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Cleveland Institute of Dental-Medical Assistants-Mentor,Mentor,OH,www.cidma.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,9500
Cleveland Institute of Dental-Medical Assistants-Lyndhurst,Lyndhurst,OH,www.cidma.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,9500
Knox County Career Center,Mount Vernon,OH,www.KnoxTechnicalCenter.com,32,0,0,NULL,NULL,NULL,NULL,NULL,9500
Madison Adult Career Center,Mansfield,OH,www.madisonadultcc.org,23,0,0,NULL,NULL,NULL,NULL,NULL,6334
Remington College-Cleveland Campus,Cleveland,OH,www.remingtoncollege.edu/cleveland-ohio-career-schools-overview,21,0,0,NULL,NULL,NULL,NULL,NULL,9500
Brown Mackie College-Findlay,Findlay,OH,www.brownmackie.edu,32,0,0,NULL,NULL,NULL,NULL,NULL,22141.5
Toledo Academy of Beauty Culture-East,OREGON,OH,toledoacademyofbeauty.com,21,0,0,NULL,NULL,NULL,NULL,NULL,11625
U S Grant Joint Vocational School,Bethel,OH,www.grantcareer.com,41,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
CC's Cosmetology College,Tulsa,OK,www.ccscosmetologycollege.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Chisholm Trail Technology Center,Omega,OK,www.cttc.edu,43,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Gordon Cooper Technology Center,Shawnee,OK,www.gctech.org,32,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Kiamichi Technology Center-Atoka,Atoka,OK,www.ktc.edu,43,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Kiamichi Technology Center-Durant,Durant,OK,https://www.ktc.edu,41,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Kiamichi Technology Center-Hugo,Hugo,OK,www.ktc.edu,33,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Kiamichi Technology Center-McAlester,McAlester,OK,www.ktc.edu/Template0.asp?pg=128,33,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Kiamichi Technology Center-Idabel,Idabel,OK,www.ktc.edu,41,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Kiamichi Technology Center-Poteau,Poteau,OK,www.ktc.edu,32,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Kiamichi Technology Center-Spiro,Spiro,OK,www.ktc.edu/locations/spiro.aspx,42,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Kiamichi Technology Center-Talihina,Talihina,OK,www.ktc.edu,43,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Le Cordon Bleu College of Culinary Arts-Portland,Portland,OR,www.chefs.edu/portland,11,0,0,NULL,NULL,NULL,NULL,NULL,16500
YTI Career Institute-Altoona,Altoona,PA,www.yti.edu,13,0,0,NULL,NULL,NULL,NULL,NULL,11381
Eastern Center for Arts and Technology,Willow Grove,PA,www.eastech.org,21,0,0,NULL,NULL,NULL,NULL,NULL,9500
Empire Beauty School-Center City Philadelphia,Philadelphia,PA,www.empire.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,9833
Centro de Estudios Multidisciplinarios-Humacao,Humacao,PR,www.cempr.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,2525
Colegio Mayor de Tecnologia Inc,Arroyo,PR,www.cmtarroyo.com,23,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Institucion Chaviano de Mayaguez,Mayaguez,PR,www.mayaguezinstituteoftechnology.com,13,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
EDIC College,Caguas,PR,www.ediccollege.edu,13,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Liceo de Arte-Dise-O y Comercio,Caguas,PR,www.liceocaguas.com,13,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Universal Technology College of Puerto Rico,Aguadilla,PR,www.unitecpr.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Academy of Hair Technology,Greenville,SC,www.hairchamps.com,21,0,0,NULL,NULL,NULL,NULL,NULL,7666
Mr Wayne's School of Unisex Hair Design,Cookeville,TN,www.misterwaynes.com,33,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
The Center for Cosmetology Education,Memphis,TN,sicbeautyschool.com,11,0,0,NULL,NULL,NULL,NULL,NULL,9833
Queen City College,Clarksville,TN,www.queencitycollege.com,12,0,0,NULL,NULL,NULL,NULL,NULL,9500
College of the Marshall Islands,Majuro,MH,www.cmi.edu,-3,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Lighthouse Career Institute,Dallas,TX,lhc.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
American National College,South Houston,TX,WWW.AMNC.EDU,21,0,0,NULL,NULL,NULL,NULL,NULL,6333
ITT Technical Institute-San Antonio,San Antonio,TX,www.itt-tech.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,25827.5
Remington College-Fort Worth Campus,Fort Worth,TX,www.remingtoncollege.edu/fort-worth-texas-career-schools-overview,11,0,0,NULL,NULL,NULL,NULL,NULL,9500
University of Cosmetology Arts & Sciences-San Antonio Jamar,San Antonio,TX,www.ucastx.com,11,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
School of Automotive Machinists,Houston,TX,www.samracing.com,11,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
SW School of Business and Technical Careers-Cosmetology,San Antonio,TX,www.sws.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
SW School of Business and Technical Careers,Eagle Pass,TX,www.sws.edu,33,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Texas College of Cosmetology-Abilene,Abilene,TX,www.texascollegecosmetology.com,12,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Vista College-Online,Richardson,TX,vistacollege.edu,13,0,0,NULL,NULL,NULL,NULL,NULL,16148.5
Centura College-Newport News,Newport News,VA,www.centuracollege.edu,12,0,0,NULL,NULL,NULL,NULL,NULL,20000
Centura College-Norfolk,Norfolk,VA,www.centuracollege.edu,12,0,0,NULL,NULL,NULL,NULL,NULL,20000
Virginia Beach City Public Schools School of Practical Nursing,Virginia Beach,VA,www.techcenter.vbschools.com,11,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Northwest College of Art & Design,Poulsbo,WA,www.ncad.edu,41,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
University of Washington-Bothell Campus,Bothell,WA,www.uwb.edu,21,0,0,550,590,540,24,1009,15797
University of Washington-Tacoma Campus,Tacoma,WA,www.tacoma.uw.edu/,12,0,0,540,550,510,23,979,15797
Valley College-Beckley,Beckley,WV,www.valley.edu,13,0,0,NULL,NULL,NULL,NULL,NULL,9500
