INSTNM,CITY,STABBR,INSTURL,LOCALE,MENONLY,WOMENONLY,SATVR75,SATMT75,SATWR75,ACTCM75,SAT_AVG,GRAD_DEBT_MDN
Phoenix College,Phoenix,AZ,www.phoenixcollege.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,11389
Cortiva Institute-Scottsdale,Scottsdale,AZ,www.cortiva.com/,12,0,0,NULL,NULL,NULL,NULL,NULL,7600
Pima Community College,Tucson,AZ,www.pima.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,7500
Pima Medical Institute-Tucson,Tucson,AZ,pmi.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,8708
Pima Medical Institute-Albuquerque,Albuquerque,NM,pmi.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,8708
Prescott College,Prescott,AZ,www.prescott.edu,13,0,0,635,570,575,28,1073,24398.5
Refrigeration School Inc,Phoenix,AZ,refrigerationschool.com,11,0,0,NULL,NULL,NULL,NULL,NULL,11183
Rio Salado College,Tempe,AZ,www.rio.maricopa.edu,12,0,0,NULL,NULL,NULL,NULL,NULL,9000
Roberto-Venn School of Luthiery,Phoenix,AZ,www.roberto-venn.com,11,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Hair Academy of Safford,Safford,AZ,hairacademysafford.com,41,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Scottsdale Community College,Scottsdale,AZ,www.scottsdalecc.edu,41,0,0,NULL,NULL,NULL,NULL,NULL,8716
South Mountain Community College,Phoenix,AZ,www.southmountaincc.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,9850
Arizona Christian University,Phoenix,AZ,www.arizonachristian.edu,11,0,0,550,540,NULL,24,988,22500
Tucson College,Tucson,AZ,www.tucsoncollege.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,9499
Universal Technical Institute of Arizona Inc,Avondale,AZ,www.uti.edu,22,0,0,NULL,NULL,NULL,NULL,NULL,18500
Western International University,Tempe,AZ,www.west.edu,12,0,0,NULL,NULL,NULL,NULL,NULL,28875
Empire Beauty School-NW Phoenix,Phoenix,AZ,www.empire.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,9833
Yavapai College,Prescott,AZ,www.YC.EDU,13,0,0,NULL,NULL,NULL,NULL,NULL,9374
University of Arkansas at Little Rock,Little Rock,AR,ualr.edu/www/,12,0,0,530,560,500,25,1048,21736
University of Arkansas for Medical Sciences,Little Rock,AR,www.uams.edu,12,0,0,NULL,NULL,NULL,NULL,NULL,12500
ABC Beauty College Inc,Arkadelphia,AR,www.abc-beautycollege.com,32,0,0,NULL,NULL,NULL,NULL,NULL,16500
Arkansas Baptist College,Little Rock,AR,www.arkansasbaptist.edu,12,0,0,NULL,NULL,NULL,NULL,NULL,38000
Arkansas Beauty School-Little Rock,Little Rock,AR,arkbeautyschool.com,12,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Arkansas Beauty College,Russellville,AR,www.arkansasbeautycollegersvlar.com/,33,0,0,NULL,NULL,NULL,NULL,NULL,6333
Lyon College,Batesville,AR,www.lyon.edu,33,0,0,545,580,510,27,1109,25000
Arkansas College of Barbering and Hair Design,North Little Rock,AR,www.arkansascollegeofbarbering.com,13,0,0,NULL,NULL,NULL,NULL,NULL,13253
Arthur's Beauty College Inc-Fort Smith,Fort Smith,AR,www.arthursbeautycollege.com,13,0,0,NULL,NULL,NULL,NULL,NULL,9833
University of Arkansas,Fayetteville,AR,www.uark.edu,13,0,0,610,620,NULL,28,1155,21500
University of Arkansas at Pine Bluff,Pine Bluff,AR,www.uapb.edu,13,0,0,450,460,453,21,886,27728.5
Arkansas State University-Beebe,Beebe,AR,www.asub.edu,31,0,0,NULL,NULL,NULL,NULL,NULL,5665.5
Arkansas State University-Main Campus,Jonesboro,AR,www2.astate.edu,13,0,0,500,560,490,26,1088,19250
Arkansas Tech University,Russellville,AR,www.atu.edu,33,0,0,580,630,580,25,1010,17480
University of Arkansas at Monticello,Monticello,AR,www.uamont.edu/,33,0,0,NULL,NULL,NULL,NULL,NULL,15000
Arthur's Beauty College Inc-Jacksonville,Jacksonville,AR,arthursbeautycollege.com,21,0,0,NULL,NULL,NULL,NULL,NULL,9833
Baptist Health College-Little Rock,Little Rock,AR,https://www.bhclr.edu,12,0,0,NULL,NULL,NULL,23,990,13393.5
Black River Technical College,Pocahontas,AR,www.blackrivertech.edu,41,0,0,NULL,NULL,NULL,NULL,NULL,10322
University of Central Arkansas,Conway,AR,www.uca.edu,13,0,0,550,580,530,26,1049,21500
Central Baptist College,Conway,AR,www.cbc.edu,13,0,0,470,540,490,23,985,21500
Cossatot Community College of the University of Arkansas,De Queen,AR,www.cccua.edu/,41,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Crowley's Ridge College,Paragould,AR,www.crc.edu/,41,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Crowley's Ridge Technical Institute,Forrest City,AR,www.crti.tec.ar.us,32,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
East Arkansas Community College,Forrest City,AR,WWW.EACC.EDU,32,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Eastern College of Health Vocations-Little Rock,Little Rock,AR,www.easterncollege.edu,12,0,0,NULL,NULL,NULL,NULL,NULL,3748
Imagine-Paul Mitchell Partner School,North Little Rock,AR,www.pmlittlerock.com,13,0,0,NULL,NULL,NULL,NULL,NULL,12485
National Park Community College,Hot Springs,AR,www.np.edu,23,0,0,NULL,NULL,NULL,NULL,NULL,14089.5
University of Arkansas Community College-Batesville,Batesville,AR,www.uaccb.edu,33,0,0,NULL,NULL,NULL,NULL,NULL,9000
Harding University,Searcy,AR,www.harding.edu,32,0,0,610,610,NULL,28,1131,26077
Henderson State University,Arkadelphia,AR,www.hsu.edu,32,0,0,530,530,NULL,24,989,19586
